Date,Open,High,Low,Close,Volume
11/05/2024,"92.76","93.66","92.76","93.66","38,351"
11/04/2024,"92.78","92.91","92.31","92.51","26,956"
11/01/2024,"92.82","93.44","92.71","92.78","36,833"
10/31/2024,"94.10","94.10","92.48","92.54","67,416"
10/30/2024,"94.50","94.80","94.20","94.29","22,969"
10/29/2024,"94.36","94.72","94.10","94.53","21,003"
10/28/2024,"94.68","94.68","94.38","94.38","26,839"
10/25/2024,"94.57","95.02","94.00","94.14","37,114"
10/24/2024,"94.39","94.39","93.74","94.17","28,288"
10/23/2024,"94.53","94.55","93.41","94.00","37,894"
10/22/2024,"94.51","95.01","94.38","94.87","21,378"
10/21/2024,"94.96","95.04","94.43","94.88","29,907"
10/18/2024,"95.01","95.17","94.80","95.04","17,921"
10/17/2024,"95.27","95.27","94.69","94.71","18,898"
10/16/2024,"94.26","94.73","94.14","94.64","23,229"
10/15/2024,"95.01","95.07","94.13","94.26","38,225"
10/11/2024,"93.63","94.33","93.63","94.25","58,986"
10/10/2024,"93.61","93.90","93.47","93.67","38,878"
10/09/2024,"93.19","93.89","93.13","93.87","43,243"
10/08/2024,"92.73","93.27","92.62","93.27","30,714"
10/07/2024,"92.88","92.98","92.14","92.23","36,385"
