Date,Open,High,Low,Close,Volume
11/05/2024,"32.78","32.98","32.77","32.98","171,551"
11/04/2024,"32.81","32.90","32.69","32.76","395,745"
11/01/2024,"32.89","33.02","32.85","32.90","173,012"
10/31/2024,"32.99","32.99","32.64","32.72","436,292"
10/30/2024,"33.25","33.29","33.11","33.11","218,062"
10/29/2024,"33.23","33.30","33.14","33.25","199,651"
10/28/2024,"33.25","33.28","33.17","33.26","152,392"
10/25/2024,"33.16","33.28","33.03","33.09","160,166"
10/24/2024,"33.08","33.08","32.92","33.07","151,604"
10/23/2024,"33.18","33.18","32.83","32.98","354,942"
10/22/2024,"33.18","33.25","33.11","33.23","235,146"
10/21/2024,"33.45","33.45","33.24","33.30","270,470"
10/18/2024,"33.36","33.48","33.31","33.45","185,257"
10/17/2024,"33.36","33.36","33.23","33.29","164,782"
10/16/2024,"33.11","33.19","33.07","33.15","191,929"
10/15/2024,"33.26","33.32","33.02","33.05","308,966"
10/11/2024,"32.93","33.17","32.92","33.14","205,859"
10/10/2024,"32.85","32.94","32.79","32.90","245,579"
10/09/2024,"32.60","32.88","32.56","32.85","132,568"
10/08/2024,"32.50","32.61","32.49","32.58","202,226"
10/07/2024,"32.56","32.58","32.40","32.46","270,139"
